#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1717166562540870184,-2.3888787836767733e-08,0.0006271085585467517,-2.0086497443116968e-07,-0.23294736444950104,0.0020272349938750267,9.814288139343262
1717166562603995119,-9.104078344535083e-07,-0.001304601551964879,-8.016326091819792e-07,0.5111938118934631,0.001528201624751091,9.805551528930664
1717166562639910077,2.5884219212457538e-08,0.0006212589214555919,-4.1846142266876996e-06,-0.078758105635643,-0.006008160300552845,9.81429672241211
1717166562698334718,-7.827948138583452e-07,-0.001149473013356328,4.690376954386011e-06,0.6502585411071777,0.003300568088889122,9.805843353271484
1717166562739646270,-7.299080607481301e-06,0.0009011269430629909,-0.0007857338059693575,-0.5413702130317688,0.0030692312866449356,9.818202018737793
1717166562803269842,-1.1372349035809748e-05,0.00023218983551487327,0.009116538800299168,-0.5213587284088135,-0.011623941361904144,9.808505058288574
1717166562839341235,2.361153565288987e-05,0.00010917371400864795,0.004707747604697943,-0.08271805197000504,-0.0010417181765660644,9.807732582092285
1717166562898615206,-2.545639654272236e-05,-0.00011819296196335927,-0.00032492922036908567,0.27335259318351746,0.028493614867329597,9.80757999420166
1717166562942573073,-1.668710319790989e-05,-0.001205504173412919,0.0023349218536168337,0.7132201194763184,-0.02594834566116333,9.80677318572998
1717166563000687459,6.266747368499637e-05,-0.00016075902385637164,-0.023268062621355057,0.43384385108947754,0.030587967485189438,9.81380844116211
1717166563048935785,2.208929436164908e-05,-0.000681744422763586,-0.008538750931620598,0.6876717805862427,-0.05128450691699982,9.80799674987793
1717166563097389072,-5.947728641331196e-05,-0.0014060934772714972,-0.001190043636597693,1.4667928218841553,0.06394705176353455,9.806220054626465
1717166563145785027,1.1381451258785091e-05,-0.000839388754684478,-0.005392252001911402,1.1672900915145874,-0.04997973144054413,9.81286334991455
1717166563197932010,4.4944135879632086e-05,0.0003024873149115592,0.010431629605591297,0.42664140462875366,-0.009584756568074226,9.814935684204102
1717166563251003069,-3.296553768450394e-05,-0.0007513656164519489,-0.00888281874358654,1.1225566864013672,0.03436029702425003,9.80652904510498
1717166563297579456,2.8710517653962597e-05,0.0005185481859371066,0.009779615327715874,0.7973620295524597,-0.05002161115407944,9.81213092803955
1717166563346015094,6.78527430864051e-06,-0.0008970943745225668,0.0030483449809253216,1.5027934312820435,0.04878845810890198,9.804844856262207
1717166563393736012,5.200693522056099e-06,9.39796373131685e-05,-0.0005827165441587567,1.0111371278762817,-0.01741417497396469,9.814003944396973
1717166563456029456,1.2956438695255201e-06,-0.00032351104891858995,0.006879867520183325,0.9558789134025574,0.006839972920715809,9.809948921203613
